%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-10-14 12:30:00,2023-10-14,2023-10-14,12:30:00,14.10.2023 12:30,FK Jaroměř (3),FC Nový Hradec Králové (2),V,2 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Jaroměř,
2023-10-14 13:30:00,2023-10-14,2023-10-14,13:30:00,14.10.2023 13:30,FC Vrchlabí (4),RMSK Cidlina Nový Bydžov B (1),V,5 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Vrchlabí,
2023-10-14 14:00:00,2023-10-14,2023-10-14,14:00:00,14.10.2023 14:00,TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),FC Spartak Rychnov nad Kněžnou (8),D,2 : 6 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Dvůr Králové nad Labem,
2023-10-21 09:30:00,2023-10-21,2023-10-21,09:30:00,21.10.2023 09:30,FC Spartak Rychnov nad Kněžnou (8),FK Jaroměř (3),V,1 : 3 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Rychnov nad Kněžnou, UMT",
2023-10-21 12:00:00,2023-10-21,2023-10-21,12:00:00,21.10.2023 12:00,FC Nový Hradec Králové (2),FC Vrchlabí (4),V,0 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Nový HK,
2023-10-21 13:00:00,2023-10-21,2023-10-21,13:00:00,21.10.2023 13:00,RMSK Cidlina Nový Bydžov B (1),SK Týniště nad Orlicí (5),V,8 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Kunčice,
2023-10-22 13:00:00,2023-10-22,2023-10-22,13:00:00,22.10.2023 13:00,TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),TJ Lánov (7),D,5 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Dvůr Králové nad Labem,
2023-10-28 11:00:00,2023-10-28,2023-10-28,11:00:00,28.10.2023 11:00,TJ Lánov (7),FC Spartak Rychnov nad Kněžnou (8),V,3 : 5 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Nová Paka, UMT",
2023-10-29 12:00:00,2023-10-29,2023-10-29,12:00:00,29.10.2023 12:00,FC Vrchlabí (4),FK Jaroměř (3),V,2 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Vrchlabí, UMT",
2023-11-18 10:00:00,2023-11-18,2023-11-18,10:00:00,18.11.2023 10:00,SK Týniště nad Orlicí (5),FC Nový Hradec Králové (2),V,1 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Týniště - atletický stadion,
2023-11-19 10:15:00,2023-11-19,2023-11-19,10:15:00,19.11.2023 10:15,TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),RMSK Cidlina Nový Bydžov B (1),D,4 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Trutnov, UMT",
2023-11-04 09:30:00,2023-11-04,2023-11-04,09:30:00,04.11.2023 09:30,FC Spartak Rychnov nad Kněžnou (8),FC Vrchlabí (4),V,5 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Rychnov nad Kněžnou, UMT",
2023-11-04 10:30:00,2023-11-04,2023-11-04,10:30:00,04.11.2023 10:30,FC Nový Hradec Králové (2),TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),V,3 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Nový HK,
