%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2024-05-29 17:00:00,2024-05-29,2024-05-29,17:00:00,29.05.2024 17:00,SK Červený Kostelec B (2),Hostinné/Rudník (4),V,0 : 2 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2024-05-29 17:00:00,2024-05-29,2024-05-29,17:00:00,29.05.2024 17:00,TJ Lánov (1),TJ Slavoj Teplice nad Metují (5),V,14 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2024-05-29 17:00:00,2024-05-29,2024-05-29,17:00:00,29.05.2024 17:00,FK Náchod dívky (7),TJ Sokol Malé Svatoňovice (6),V,1 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Náchod - Hamra,
2024-05-29 18:00:00,2024-05-29,2024-05-29,18:00:00,29.05.2024 18:00,SK Červený Kostelec B (2),Hostinné/Rudník (4),V,2 : 6 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2024-05-29 18:00:00,2024-05-29,2024-05-29,18:00:00,29.05.2024 18:00,TJ Lánov (1),TJ Slavoj Teplice nad Metují (5),V,10 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2024-05-29 18:00:00,2024-05-29,2024-05-29,18:00:00,29.05.2024 18:00,FK Náchod dívky (7),TJ Sokol Malé Svatoňovice (6),V,2 : 6 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Náchod - Hamra,
2024-05-30 17:00:00,2024-05-30,2024-05-30,17:00:00,30.05.2024 17:00,Bílá Třemešná/Dvůr Králové B (8),Fotbalový klub Mostek (3),D,3 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2024-05-30 18:00:00,2024-05-30,2024-05-30,18:00:00,30.05.2024 18:00,Bílá Třemešná/Dvůr Králové B (8),Fotbalový klub Mostek (3),D,2 : 2 (PK:3:4),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2024-05-22 17:00:00,2024-05-22,2024-05-22,17:00:00,22.05.2024 17:00,TJ Slavoj Teplice nad Metují (5),Bílá Třemešná/Dvůr Králové B (8),V,3 : 6 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2024-05-22 18:00:00,2024-05-22,2024-05-22,18:00:00,22.05.2024 18:00,TJ Slavoj Teplice nad Metují (5),Bílá Třemešná/Dvůr Králové B (8),V,1 : 4 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2024-06-01 10:00:00,2024-06-01,2024-06-01,10:00:00,01.06.2024 10:00,Fotbalový klub Mostek (3),FK Náchod dívky (7),V,4 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2024-06-01 11:00:00,2024-06-01,2024-06-01,11:00:00,01.06.2024 11:00,Fotbalový klub Mostek (3),FK Náchod dívky (7),V,5 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
