%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-09-13 17:00:00,2023-09-13,2023-09-13,17:00:00,13.09.2023 17:00,FK Sokol Volanov (9),Fotbal Club Mladé Buky (1),V,9 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Volanov,
2023-09-30 13:00:00,2023-09-30,2023-09-30,13:00:00,30.09.2023 13:00,TJ Spartak Pilníkov (6),TJ SOKOL Bílá Třemešná (4),V,2 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Pilníkov,
2023-09-30 16:00:00,2023-09-30,2023-09-30,16:00:00,30.09.2023 16:00,TJ Jiskra Podhůří (5),TJ Rudník (16),V,2 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Podhůří,
2023-09-30 16:00:00,2023-09-30,2023-09-30,16:00:00,30.09.2023 16:00,TJ Jiskra Bohuslavice nad Ú. (7),FC Libotov (3),V,6 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Bohuslavice,
2023-09-30 16:00:00,2023-09-30,2023-09-30,16:00:00,30.09.2023 16:00,Sokol Vítězná (8),TJ Baník Rtyně v Podkrk. (2),V,6 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Vítězná,
2023-09-30 16:00:00,2023-09-30,2023-09-30,16:00:00,30.09.2023 16:00,TJ Tatran Hostinné (11),TJ Sokol Staré Buky (14),V,3 : 5 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Hostinné,
2023-09-30 16:00:00,2023-09-30,2023-09-30,16:00:00,30.09.2023 16:00,FK Poříčí u Trutnova (12),TJ Baník Žacléř A (13),V,0 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Poříčí,
2023-10-01 16:00:00,2023-10-01,2023-10-01,16:00:00,01.10.2023 16:00,TJ Strážné (10),SK Spartak Hajnice (15),V,1 : 4 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,D.Branná,
2023-10-07 13:00:00,2023-10-07,2023-10-07,13:00:00,07.10.2023 13:00,TJ Rudník (16),TJ Baník Žacléř A (13),V,0 : 6 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rudník,
2023-10-07 16:00:00,2023-10-07,2023-10-07,16:00:00,07.10.2023 16:00,TJ Sokol Staré Buky (14),FK Poříčí u Trutnova (12),V,2 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,St.Buky,
2023-10-07 16:00:00,2023-10-07,2023-10-07,16:00:00,07.10.2023 16:00,Fotbal Club Mladé Buky (1),TJ Strážné (10),V,3 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,M.Buky,
2023-10-07 16:00:00,2023-10-07,2023-10-07,16:00:00,07.10.2023 16:00,TJ Baník Rtyně v Podkrk. (2),FK Sokol Volanov (9),V,1 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Rtyně,
2023-10-07 16:00:00,2023-10-07,2023-10-07,16:00:00,07.10.2023 16:00,TJ SOKOL Bílá Třemešná (4),TJ Jiskra Bohuslavice nad Ú. (7),D,2 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,B.Třemešná,
2023-10-07 16:00:00,2023-10-07,2023-10-07,16:00:00,07.10.2023 16:00,TJ Jiskra Podhůří (5),TJ Spartak Pilníkov (6),V,1 : 8 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Podhůří,
2023-10-08 13:00:00,2023-10-08,2023-10-08,13:00:00,08.10.2023 13:00,SK Spartak Hajnice (15),TJ Tatran Hostinné (11),V,7 : 2 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Hajnice,
2023-10-08 16:00:00,2023-10-08,2023-10-08,16:00:00,08.10.2023 16:00,FC Libotov (3),Sokol Vítězná (8),V,4 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Libotov,
2023-10-14 11:00:00,2023-10-14,2023-10-14,11:00:00,14.10.2023 11:00,FK Sokol Volanov (9),FC Libotov (3),V,7 : 0 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Volanov,
2023-10-14 16:00:00,2023-10-14,2023-10-14,16:00:00,14.10.2023 16:00,TJ Spartak Pilníkov (6),TJ Rudník (16),V,5 : 6 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Pilníkov,
2023-10-14 16:00:00,2023-10-14,2023-10-14,16:00:00,14.10.2023 16:00,TJ Jiskra Bohuslavice nad Ú. (7),TJ Jiskra Podhůří (5),V,2 : 1 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Bohuslavice,
2023-10-14 16:00:00,2023-10-14,2023-10-14,16:00:00,14.10.2023 16:00,Sokol Vítězná (8),TJ SOKOL Bílá Třemešná (4),V,1 : 3 (PK:0:0),OP II.třídy muži,Muži,Muzi,1,Vítězná,
