%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-09-30 13:15:00,2023-09-30,2023-09-30,13:15:00,30.09.2023 13:15,TJ Sokol Jičíněves (2),Sokol Provodov (1),V,1 : 1 (PK:6:7),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2023-10-11 16:00:00,2023-10-11,2023-10-11,16:00:00,11.10.2023 16:00,Sportovní klub Sobotka (5),Sokol Vítězná (8),V,11 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2023-10-07 10:00:00,2023-10-07,2023-10-07,10:00:00,07.10.2023 10:00,Košťálov-Libštát/Nová Ves (6),Sportovní klub Sobotka (5),V,4 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Libštát,
2023-10-08 10:30:00,2023-10-08,2023-10-08,10:30:00,08.10.2023 10:30,Sokol Provodov (1),FK Poříčí u Trutnova (3),V,0 : 5 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2023-10-08 11:30:00,2023-10-08,2023-10-08,11:30:00,08.10.2023 11:30,Bílá Třemešná/Dvůr Králové (7),TJ Sokol Chomutice (4),D,5 : 5 (PK:7:8),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2023-10-08 12:00:00,2023-10-08,2023-10-08,12:00:00,08.10.2023 12:00,Sokol Vítězná (8),TJ Sokol Jičíněves (2),V,2 : 6 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2023-10-14 10:00:00,2023-10-14,2023-10-14,10:00:00,14.10.2023 10:00,Košťálov-Libštát/Nová Ves (6),Sokol Vítězná (8),V,18 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Nová Ves n. P.,
2023-10-14 13:15:00,2023-10-14,2023-10-14,13:15:00,14.10.2023 13:15,FK Poříčí u Trutnova (3),TJ Sokol Jičíněves (2),V,4 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2023-10-14 14:00:00,2023-10-14,2023-10-14,14:00:00,14.10.2023 14:00,Sportovní klub Sobotka (5),Bílá Třemešná/Dvůr Králové (7),V,5 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2023-10-14 15:30:00,2023-10-14,2023-10-14,15:30:00,14.10.2023 15:30,TJ Sokol Chomutice (4),Sokol Provodov (1),V,5 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2023-10-22 10:30:00,2023-10-22,2023-10-22,10:30:00,22.10.2023 10:30,Sokol Provodov (1),Sportovní klub Sobotka (5),V,2 : 2 (PK:2:4),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2023-10-22 12:00:00,2023-10-22,2023-10-22,12:00:00,22.10.2023 12:00,Sokol Vítězná (8),FK Poříčí u Trutnova (3),V,2 : 5 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2023-10-22 12:00:00,2023-10-22,2023-10-22,12:00:00,22.10.2023 12:00,TJ Sokol Jičíněves (2),TJ Sokol Chomutice (4),V,1 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2024-05-08 13:15:00,2024-05-08,2024-05-08,13:15:00,08.05.2024 13:15,Bílá Třemešná/Dvůr Králové (7),Košťálov-Libštát/Nová Ves (6),D,1 : 5 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2023-09-28 10:00:00,2023-09-28,2023-09-28,10:00:00,28.09.2023 10:00,FK Poříčí u Trutnova (3),Sokol Provodov (1),V,2 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
